attendance_id,member_id,check_in_time,check_out_time,duration_minutes,workout_type,coach_id,notes
1,379,2022-07-10 10:00:00,2022-07-10 11:16:00,76,Strength,3,Regular visit
2,684,2023-10-14 09:15:00,2023-10-14 10:58:00,103,Yoga,18,
3,475,2022-04-11 14:30:00,2022-04-11 16:47:00,137,Cycling,24,Brought guest
4,164,2025-01-29 15:30:00,2025-01-29 16:12:00,42,Swimming,24,
5,639,2024-05-10 08:30:00,2024-05-10 09:34:00,64,Cardio,4,
6,194,2022-01-09 09:45:00,2022-01-09 10:20:00,35,Boxing,25,First visit
7,832,2025-01-14 09:30:00,2025-01-14 10:20:00,50,Stretching,30,Brought guest
8,508,2022-06-17 16:15:00,2022-06-17 17:08:00,53,Stretching,22,
9,35,2024-08-21 12:15:00,2024-08-21 13:06:00,51,Cycling,7,Post-holiday return
10,11,2024-12-07 14:15:00,2024-12-07 15:48:00,93,Cycling,7,
11,881,2023-03-09 18:15:00,2023-03-09 20:30:00,135,Cycling,9,First visit
12,279,2024-04-08 19:30:00,2024-04-08 20:34:00,64,Yoga,19,
13,861,2023-06-07 21:00:00,2023-06-07 21:44:00,44,Swimming,18,
14,519,2022-09-20 11:00:00,2022-09-20 12:55:00,115,Yoga,4,
15,473,2023-05-27 07:00:00,2023-05-27 08:57:00,117,Swimming,4,
16,567,2022-08-19 06:15:00,2022-08-19 08:16:00,121,Strength,26,
17,847,2022-08-08 16:15:00,2022-08-08 17:42:00,87,HIIT,4,
18,253,2024-01-26 16:45:00,2024-01-26 18:03:00,78,Cycling,21,Regular visit
19,909,2023-02-17 10:15:00,2023-02-17 11:34:00,79,Personal Training,6,
20,498,2024-09-30 21:30:00,2024-09-30 22:55:00,85,Cardio,8,
21,888,2024-08-07 11:00:00,2024-08-07 13:10:00,130,Cardio,23,Came with friend
22,1074,2023-08-16 12:45:00,2023-08-16 13:29:00,44,Group Class,4,Regular visit
23,573,2022-12-29 19:00:00,2022-12-29 20:30:00,90,Cycling,2,Competed this week
24,931,2023-12-14 15:15:00,2023-12-14 16:42:00,87,Yoga,22,Regular visit
25,977,2024-03-10 14:15:00,2024-03-10 15:46:00,91,Yoga,14,
26,36,2023-04-26 21:45:00,2023-04-26 22:43:00,58,Cycling,16,
27,297,2022-08-13 14:30:00,2022-08-13 16:06:00,96,Group Class,22,
28,557,2024-11-23 15:45:00,2024-11-23 16:17:00,32,Strength,18,
29,495,2023-08-03 14:15:00,2023-08-03 16:21:00,126,Cycling,27,Competed this week
30,1177,2024-12-21 11:45:00,2024-12-21 13:22:00,97,Cardio,4,
31,671,2025-02-08 19:30:00,2025-02-08 20:00:00,30,Boxing,6,
32,223,2023-09-20 19:30:00,2023-09-20 21:29:00,119,Group Class,18,
33,824,2025-03-03 17:00:00,2025-03-03 18:18:00,78,Boxing,19,
34,502,2023-10-28 07:30:00,2023-10-28 08:45:00,75,Boxing,24,
35,1091,2023-11-14 21:15:00,2023-11-14 22:40:00,85,Cycling,,
36,212,2025-03-03 10:15:00,2025-03-03 11:37:00,82,Cardio,6,Came with friend
37,845,2024-12-31 08:00:00,2024-12-31 09:57:00,117,Cycling,14,
38,453,2023-03-16 12:30:00,2023-03-16 13:12:00,42,Cardio,8,
39,838,2022-09-04 14:45:00,2022-09-04 17:09:00,144,Yoga,2,First visit
40,485,2022-09-01 08:30:00,2022-09-01 10:41:00,131,Stretching,17,
41,494,2022-04-01 21:30:00,2022-04-01 23:09:00,99,HIIT,21,
42,1003,2023-03-20 19:30:00,2023-03-20 20:12:00,42,Strength,16,Competed this week
43,470,2025-03-24 14:00:00,2025-03-24 15:24:00,84,Personal Training,29,First visit
44,927,2025-02-13 11:00:00,2025-02-13 13:04:00,124,Strength,20,Competed this week
45,44,2023-07-18 12:15:00,2023-07-18 14:30:00,135,HIIT,7,
46,368,2023-02-06 12:15:00,2023-02-06 13:01:00,46,Group Class,14,
47,921,2023-04-08 10:00:00,2023-04-08 10:45:00,45,Yoga,11,
48,614,2024-06-03 10:00:00,2024-06-03 12:16:00,136,HIIT,15,Post-holiday return
49,16,2022-12-17 17:00:00,2022-12-17 18:38:00,98,HIIT,21,Post-holiday return
50,223,2022-06-23 11:15:00,2022-06-23 11:54:00,39,HIIT,13,
51,891,2023-04-15 11:30:00,2023-04-15 13:31:00,121,Cycling,22,Brought guest
52,1088,2023-11-07 20:15:00,2023-11-07 22:31:00,136,Stretching,17,
53,1162,2023-03-18 20:45:00,2023-03-18 21:37:00,52,Stretching,26,Came with friend
54,572,2023-10-09 14:15:00,2023-10-09 16:43:00,148,Cardio,6,Post-holiday return
55,606,2024-02-09 20:00:00,2024-02-09 22:21:00,141,Stretching,3,
56,111,2023-04-16 09:45:00,2023-04-16 11:05:00,80,Stretching,22,
57,109,2024-11-26 11:15:00,2024-11-26 13:27:00,132,HIIT,7,
58,1042,2025-01-18 08:15:00,2025-01-18 09:53:00,98,Cycling,2,First visit
59,1076,2025-01-05 08:30:00,2025-01-05 09:33:00,63,Personal Training,17,
60,366,2022-04-01 19:45:00,2022-04-01 22:03:00,138,Yoga,4,
61,184,2024-11-26 10:45:00,2024-11-26 11:24:00,39,Swimming,23,
62,1120,2022-06-14 16:45:00,2022-06-14 17:36:00,51,Group Class,27,First visit
63,62,2022-03-09 06:00:00,2022-03-09 08:09:00,129,Cardio,27,
64,172,2023-10-23 11:00:00,2023-10-23 11:40:00,40,Yoga,15,
65,900,2025-01-08 17:00:00,2025-01-08 19:10:00,130,Stretching,,
66,724,2023-10-03 18:00:00,2023-10-03 20:11:00,131,Cycling,20,Regular visit
67,599,2023-06-19 11:00:00,2023-06-19 12:39:00,99,HIIT,19,
68,1181,2025-01-10 21:30:00,2025-01-10 23:02:00,92,Cycling,29,
69,309,2022-12-26 15:00:00,2022-12-26 16:10:00,70,Swimming,15,
70,1039,2024-06-09 20:00:00,2024-06-09 20:35:00,35,Stretching,1,
71,536,2023-05-19 18:30:00,2023-05-19 20:21:00,111,Personal Training,2,First visit
72,1057,2023-07-18 10:45:00,2023-07-18 12:03:00,78,Stretching,3,
73,846,2022-11-02 14:15:00,2022-11-02 15:26:00,71,Personal Training,21,
74,750,2023-09-28 11:45:00,2023-09-28 13:48:00,123,Cardio,17,
75,963,2022-04-19 19:15:00,2022-04-19 20:15:00,60,Swimming,19,Competed this week
76,1144,2024-07-31 17:00:00,2024-07-31 19:08:00,128,Stretching,24,
77,1077,2023-01-14 10:00:00,2023-01-14 10:37:00,37,Group Class,25,
78,251,2024-03-13 14:00:00,2024-03-13 16:23:00,143,Cycling,29,Brought guest
79,11,2023-06-20 14:15:00,2023-06-20 15:55:00,100,Boxing,15,
80,1057,2023-02-02 18:15:00,2023-02-02 19:52:00,97,Strength,12,Regular visit
81,497,2022-11-14 08:15:00,2022-11-14 10:14:00,119,Swimming,19,
82,605,2022-12-16 15:45:00,2022-12-16 16:53:00,68,HIIT,,
83,860,2022-09-25 17:45:00,2022-09-25 18:42:00,57,Strength,9,Regular visit
84,169,2024-08-04 07:45:00,2024-08-04 08:52:00,67,Swimming,5,First visit
85,766,2023-08-19 07:15:00,2023-08-19 08:36:00,81,Yoga,23,
86,756,2023-11-28 11:30:00,2023-11-28 12:24:00,54,Cardio,21,
87,963,2024-02-12 15:45:00,2024-02-12 17:56:00,131,Group Class,27,Regular visit
88,1051,2025-03-25 06:15:00,2025-03-25 08:18:00,123,Strength,11,
89,1139,2024-10-22 11:30:00,2024-10-22 12:42:00,72,HIIT,14,Competed this week
90,127,2023-11-28 07:30:00,2023-11-28 09:27:00,117,Cardio,27,Regular visit
91,490,2023-02-24 12:15:00,2023-02-24 14:22:00,127,Personal Training,6,Brought guest
92,528,2023-10-08 09:45:00,2023-10-08 11:48:00,123,Yoga,25,
93,210,2022-07-04 09:45:00,2022-07-04 11:22:00,97,Boxing,23,
94,1115,2022-04-09 12:15:00,2022-04-09 14:00:00,105,Strength,20,
95,406,2024-10-05 12:15:00,2024-10-05 13:36:00,81,Personal Training,7,
96,833,2022-03-13 08:00:00,2022-03-13 10:27:00,147,Stretching,24,Brought guest
97,1018,2023-11-02 18:00:00,2023-11-02 19:29:00,89,Cycling,27,Post-holiday return
98,1132,2024-12-10 06:00:00,2024-12-10 08:26:00,146,HIIT,6,
99,61,2022-08-07 16:45:00,2022-08-07 17:29:00,44,Cycling,4,Competed this week
100,1073,2022-01-27 13:45:00,2022-01-27 14:57:00,72,Boxing,20,Came with friend
101,541,2023-08-04 09:45:00,2023-08-04 12:12:00,147,Cardio,28,Competed this week
102,438,2024-03-13 17:30:00,2024-03-13 18:17:00,47,Cardio,2,Regular visit
103,146,2022-09-10 15:00:00,2022-09-10 16:39:00,99,Group Class,7,
104,814,2024-12-21 21:30:00,2024-12-21 23:47:00,137,Cardio,18,
105,835,2023-02-03 11:15:00,2023-02-03 13:45:00,150,Yoga,19,Competed this week
106,1036,2022-10-30 08:15:00,2022-10-30 09:42:00,87,Group Class,10,First visit
107,857,2022-06-07 08:30:00,2022-06-07 10:59:00,149,Cardio,22,Regular visit
108,267,2024-11-30 19:00:00,2024-11-30 21:16:00,136,Personal Training,20,
109,692,2023-05-02 21:45:00,2023-05-02 23:09:00,84,Swimming,30,
110,1064,2022-07-16 09:15:00,2022-07-16 10:39:00,84,Cardio,30,
111,396,2022-04-24 12:30:00,2022-04-24 13:49:00,79,Swimming,28,Competed this week
112,182,2022-02-25 18:15:00,2022-02-25 20:12:00,117,Boxing,2,First visit
113,436,2022-07-24 11:15:00,2022-07-24 12:17:00,62,Personal Training,11,
114,881,2024-11-08 11:45:00,2024-11-08 13:28:00,103,Strength,15,
115,994,2024-05-19 10:15:00,2024-05-19 11:52:00,97,Group Class,9,
116,238,2023-05-11 15:00:00,2023-05-11 17:11:00,131,Cycling,14,
117,702,2023-09-04 13:45:00,2023-09-04 16:05:00,140,Cycling,23,Brought guest
118,280,2024-04-14 07:15:00,2024-04-14 08:14:00,59,Personal Training,19,
119,110,2022-07-29 17:45:00,2022-07-29 19:43:00,118,Cardio,19,
120,1040,2024-01-25 08:30:00,2024-01-25 09:36:00,66,Stretching,5,
121,928,2023-06-07 11:45:00,2023-06-07 13:51:00,126,Stretching,22,Competed this week
122,862,2025-03-18 18:30:00,2025-03-18 20:46:00,136,Cycling,20,Competed this week
123,935,2022-07-03 15:15:00,2022-07-03 16:53:00,98,Personal Training,18,Post-holiday return
124,1165,2023-05-24 10:30:00,2023-05-24 12:12:00,102,Strength,9,
125,1025,2023-09-27 12:15:00,2023-09-27 14:38:00,143,Yoga,3,
126,457,2023-08-26 10:45:00,2023-08-26 12:06:00,81,Stretching,17,
127,836,2022-02-17 21:15:00,2022-02-17 22:35:00,80,Strength,14,Post-holiday return
128,63,2024-06-24 11:15:00,2024-06-24 12:24:00,69,Cycling,30,
129,1065,2023-03-28 16:30:00,2023-03-28 18:23:00,113,Yoga,28,Brought guest
130,284,2025-02-23 06:30:00,2025-02-23 08:45:00,135,Cardio,28,First visit
131,835,2022-08-30 10:45:00,2022-08-30 11:58:00,73,Cardio,17,
132,832,2024-01-05 10:45:00,2024-01-05 12:39:00,114,Group Class,2,Brought guest
