payment_id,member_id,payment_date,amount_eur,discount_pct,membership_type,payment_method,invoice_number,status
1,1141,2023-10-27,25.0,0,Basic,Card,INV-2023-000001,Paid
2,470,2023-10-09,75.0,0,Family,Card,INV-2023-000002,Paid
3,433,2025-03-07,36.0,10,Standard,Bank Transfer,INV-2025-000003,Paid
4,436,2024-03-21,22.0,0,Senior,Online,INV-2024-000004,Pending
5,293,2023-05-21,65.0,0,Premium,PayPal,INV-2023-000005,Paid
6,539,2024-05-27,8.0,0,Day Pass,Online,INV-2024-000006,Pending
7,742,2022-10-11,8.0,0,Day Pass,Card,INV-2022-000007,Paid
8,97,2022-11-10,61.75,5,Premium,Online,INV-2022-000008,Paid
9,131,2024-08-16,25.0,0,Basic,PayPal,INV-2024-000009,Paid
10,24,2022-08-23,65.0,0,Premium,PayPal,INV-2022-000010,Paid
11,547,2023-11-28,20.0,0,Student,Online,INV-2023-000011,Paid
12,324,2023-06-24,65.0,0,Premium,Cash,INV-2023-000012,Failed
13,1040,2023-09-04,49.5,10,Corporate,PayPal,INV-2023-000013,Paid
14,408,2022-11-27,22.0,0,Senior,PayPal,INV-2022-000014,Paid
15,2,2024-09-27,90.0,0,VIP,Bank Transfer,INV-2024-000015,Paid
16,630,2023-05-09,75.0,0,Family,Card,INV-2023-000016,Paid
17,176,2022-05-22,8.0,0,Day Pass,PayPal,INV-2022-000017,Failed
18,258,2024-08-31,40.0,0,Standard,Cash,INV-2024-000018,Failed
19,543,2024-05-16,20.0,0,Student,PayPal,INV-2024-000019,Failed
20,412,2024-03-28,90.0,0,VIP,Bank Transfer,INV-2024-000020,Refunded
21,898,2024-07-13,38.0,5,Standard,Cash,INV-2024-000021,Paid
22,132,2025-02-08,55.0,0,Corporate,Cash,INV-2025-000022,Paid
23,15,2022-05-01,75.0,0,Family,Card,INV-2022-000023,Paid
24,677,2023-05-03,25.0,0,Basic,Online,INV-2023-000024,Paid
25,439,2025-03-15,55.0,0,Corporate,Cash,INV-2025-000025,Paid
26,969,2023-01-25,90.0,0,VIP,Online,INV-2023-000026,Paid
27,726,2024-08-14,55.0,0,Corporate,Card,INV-2024-000027,Paid
28,202,2023-11-26,65.0,0,Premium,Card,INV-2023-000028,Paid
29,510,2025-01-03,55.0,0,Corporate,Online,INV-2025-000029,Paid
